model,ECS,mip,source
ACCESS-CM2,4.72,CMIP6,schlund20
ACCESS-ESM1-5,3.87,CMIP6,schlund20
ACCESS1-0,3.83,CMIP5,schlund20
ACCESS1-3,3.53,CMIP5,schlund20
AWI-CM-1-1-MR,3.16,CMIP6,schlund20
AWI-ESM-1-1-LR,3.6,CMIP6,kageyama21
BCC-CSM2-MR,3.04,CMIP6,schlund20
BCC-ESM1,3.26,CMIP6,schlund20
BNU-ESM,3.92,CMIP5,schlund20
CAMS-CSM1-0,2.29,CMIP6,schlund20
CAS-ESM2-0,3.51,CMIP6,schlund20
CCSM4,2.94,CMIP5,schlund20
CESM1,4.1,CMIP5,meehl13
CESM1-CAM5,4.2,CMIP6,zhu19
CESM2,5.16,CMIP6,schlund20
CESM2-FV2,5.14,CMIP6,schlund20
CESM2-WACCM,4.75,CMIP6,schlund20
CESM2-WACCM-FV2,4.79,CMIP6,schlund20
CIESM,5.67,CMIP6,scafetta22
CMCC-CM2-SR5,3.52,CMIP6,schlund20
CNRM-CM5,3.25,CMIP5,schlund20
CNRM-CM5-2,3.44,CMIP5,schlund20
CNRM-CM6-1,4.83,CMIP6,schlund20
CNRM-CM6-1-HR,4.28,CMIP6,schlund20
CNRM-ESM2-1,4.76,CMIP6,schlund20
CSIRO-Mk3-6-0,4.08,CMIP5,schlund20
CanESM2,3.69,CMIP5,schlund20
CanESM5,5.62,CMIP6,schlund20
CanESM5-CanOE,5.6,CMIP6,swart19
E3SM-1-0,5.32,CMIP6,schlund20
EC-Earth3,4.3,CMIP6,scafetta22
EC-Earth3-Veg,4.31,CMIP6,schlund20
FGOALS-f3-L,2.99,CMIP6,tokarska20
FGOALS-g2,3.38,CMIP5,schlund20
FGOALS-g3,2.88,CMIP6,schlund20
GFDL-CM3,3.97,CMIP5,schlund20
GFDL-CM4,3.87,CMIP6,tokarska20
GFDL-ESM2G,2.39,CMIP5,schlund20
GFDL-ESM2M,2.44,CMIP5,schlund20
GFDL-ESM4,3.9,CMIP6,scafetta22
GISS-E2-1-G,2.72,CMIP6,schlund20
GISS-E2-1-H,3.11,CMIP6,schlund20
GISS-E2-2-G,2.4,CMIP6,meehl20
GISS-E2-H,2.31,CMIP5,schlund20
GISS-E2-R,2.11,CMIP5,schlund20
HadGEM2-ES,4.61,CMIP5,schlund20
HadGEM3-GC31-LL,5.55,CMIP6,schlund20
HadGEM3-GC31-MM,5.42,CMIP6,schlund20
INM-CM4-8,1.83,CMIP6,schlund20
INM-CM5-0,1.92,CMIP6,schlund20
IPSL-CM5A-LR,4.13,CMIP5,schlund20
IPSL-CM5A-MR,4.12,CMIP5,schlund20
IPSL-CM5B-LR,2.6,CMIP5,schlund20
IPSL-CM6A-LR,4.56,CMIP6,schlund20
KACE-1-0-G,4.48,CMIP6,schlund20
MCM-UA-1-0,3.65,CMIP6,schlund20
MIROC-ES2L,2.68,CMIP6,schlund20
MIROC-ESM,4.67,CMIP5,schlund20
MIROC5,2.72,CMIP5,schlund20
MIROC6,2.61,CMIP6,schlund20
MPI-ESM-1-2-HAM,2.96,CMIP6,schlund20
MPI-ESM-LR,3.63,CMIP5,schlund20
MPI-ESM-MR,3.46,CMIP5,schlund20
MPI-ESM-P,3.45,CMIP5,schlund20
MPI-ESM1-2-HR,2.98,CMIP6,schlund20
MPI-ESM1-2-LR,3.0,CMIP6,schlund20
MRI-CGCM3,2.6,CMIP5,schlund20
MRI-ESM2-0,3.15,CMIP6,schlund20
NESM3,4.72,CMIP6,schlund20
NorCPM1,3.05,CMIP6,schlund20
NorESM1-M,2.8,CMIP5,schlund20
NorESM2-LM,2.54,CMIP6,schlund20
NorESM2-MM,2.5,CMIP6,schlund20
SAM0-UNICON,3.72,CMIP6,schlund20
TaiESM1,4.31,CMIP6,schlund20
UKESM1-0-LL,5.34,CMIP6,tokarska20
bcc-csm1-1,2.83,CMIP5,schlund20
bcc-csm1-1-m,2.86,CMIP5,schlund20
inmcm4,2.08,CMIP5,schlund20
